Date,Active_Members,Daily_Change
2025-09-01,54,2.0
2025-09-02,56,2.0
2025-09-03,57,1.0
2025-09-04,58,1.0
2025-09-05,58,0.0
2025-09-06,60,2.0
2025-09-07,59,-1.0
2025-09-08,63,4.0
2025-09-09,61,-2.0
2025-09-10,62,1.0
2025-09-11,58,-4.0
2025-09-12,56,-2.0
2025-09-13,55,-1.0
2025-09-14,54,-1.0
2025-09-15,57,3.0
2025-09-16,56,-1.0
2025-09-17,57,1.0
2025-09-18,54,-3.0
2025-09-19,52,-2.0
2025-09-20,56,4.0
2025-09-21,55,-1.0
2025-09-22,66,11.0
2025-09-23,67,1.0
2025-09-24,67,0.0
2025-09-25,72,5.0
2025-09-26,73,1.0
2025-09-27,76,3.0
2025-09-28,76,0.0
2025-09-29,74,-2.0
2025-09-30,79,5.0
2025-10-01,86,7.0
2025-10-02,85,-1.0
2025-10-03,84,-1.0
2025-10-04,91,7.0
2025-10-05,91,0.0
2025-10-06,98,7.0
2025-10-07,107,9.0
2025-10-08,107,0.0
2025-10-09,108,1.0
2025-10-10,110,2.0
2025-10-11,112,2.0
2025-10-12,111,-1.0
2025-10-13,114,3.0
2025-10-14,115,1.0
2025-10-15,115,0.0
2025-10-16,114,-1.0
2025-10-17,115,1.0
2025-10-18,116,1.0
2025-10-19,116,0.0
2025-10-20,122,6.0
2025-10-21,122,0.0
2025-10-22,127,5.0
2025-10-23,120,-7.0
2025-10-24,120,0.0
2025-10-25,122,2.0
2025-10-26,118,-4.0
2025-10-27,127,9.0
2025-10-28,125,-2.0
2025-10-29,128,3.0
2025-10-30,131,3.0
2025-10-31,127,-4.0
2025-11-01,127,0.0
2025-11-02,129,2.0
2025-11-03,133,4.0
2025-11-04,141,8.0
2025-11-05,145,4.0
2025-11-06,145,0.0
2025-11-07,145,0.0
2025-11-08,145,0.0
2025-11-09,143,-2.0
2025-11-10,145,2.0
2025-11-11,144,-1.0
2025-11-12,144,0.0
2025-11-13,145,1.0
2025-11-14,145,0.0
2025-11-15,148,3.0
2025-11-16,146,-2.0
2025-11-17,148,2.0
2025-11-18,148,0.0
2025-11-19,147,-1.0
2025-11-20,148,1.0
2025-11-21,147,-1.0
2025-11-22,148,1.0
2025-11-23,144,-4.0
2025-11-24,145,1.0
2025-11-25,143,-2.0
2025-11-26,146,3.0
2025-11-27,141,-5.0
2025-11-28,141,0.0
2025-11-29,139,-2.0
2025-11-30,139,0.0
2025-12-01,155,16.0
2025-12-02,160,5.0
2025-12-03,165,5.0
2025-12-04,162,-3.0
